==================================================================
BLASST speedup — Qwen/Qwen3-8B, backend: aiter, causal: True
Device: AMD Instinct MI300X
==================================================================
Same kernel: threshold=0 (dense) vs threshold>0 (BLASST)

Loading Qwen/Qwen3-8B and capturing Q/K/V...
Captured 36 layers, seq_len=32417

 Layer  Threshold  Dense(ms)  BLASST(ms)  Speedup
--------------------------------------------------
     0  0 (dense)      35.87       35.87    1.00x
     0       0.01      35.87       33.10    1.08x
     0       0.05      35.87       32.45    1.11x
     0       0.10      35.87       32.00    1.12x
     0       0.30      35.87       30.42    1.18x

     7  0 (dense)      36.06       36.06    1.00x
     7       0.01      36.06       25.48    1.42x
     7       0.05      36.06       21.54    1.67x
     7       0.10      36.06       20.35    1.77x
     7       0.30      36.06       19.37    1.86x

    18  0 (dense)      36.22       36.22    1.00x
    18       0.01      36.22       30.34    1.19x
    18       0.05      36.22       27.16    1.33x
    18       0.10      36.22       25.29    1.43x
    18       0.30      36.22       22.33    1.62x

    35  0 (dense)      36.42       36.42    1.00x
    35       0.01      36.42       26.48    1.38x
    35       0.05      36.42       23.16    1.57x
    35       0.10      36.42       21.73    1.68x
    35       0.30      36.42       20.03    1.82x

