==================================================================
BLASST speedup — Qwen/Qwen3-8B, backend: aiter, causal: False
Device: AMD Instinct MI300X
==================================================================
Same kernel: threshold=0 (dense) vs threshold>0 (BLASST)

Loading Qwen/Qwen3-8B and capturing Q/K/V...
Captured 36 layers, seq_len=32417

 Layer  Threshold  Dense(ms)  BLASST(ms)  Speedup
--------------------------------------------------
     0  0 (dense)      69.56       69.56    1.00x
     0       0.01      69.56       58.71    1.18x
     0       0.05      69.56       58.92    1.18x
     0       0.10      69.56       58.44    1.19x
     0       0.30      69.56       56.57    1.23x

     7  0 (dense)      70.43       70.43    1.00x
     7       0.01      70.43       52.13    1.35x
     7       0.05      70.43       42.95    1.64x
     7       0.10      70.43       39.59    1.78x
     7       0.30      70.43       34.42    2.05x

    18  0 (dense)      70.51       70.51    1.00x
    18       0.01      70.51       58.30    1.21x
    18       0.05      70.51       55.46    1.27x
    18       0.10      70.51       51.98    1.36x
    18       0.30      70.51       44.98    1.57x

    35  0 (dense)      70.28       70.28    1.00x
    35       0.01      70.28       54.21    1.30x
    35       0.05      70.28       50.63    1.39x
    35       0.10      70.28       48.52    1.45x
    35       0.30      70.28       43.72    1.61x

